model,design_pattern,RS,EX,single_choice_accuracy,multiple_choice_accuracy
claude-sonnet-4,Multi-agent,0.398,0.296,0.1333333333333333,0.3428571428571428
claude-sonnet-4,Planning,0.385,0.16,0.1607142857142857,0.2878787878787879
claude-sonnet-4,Reflection,0.438,0.153,0.2692307692307692,0.2166666666666666
claude-sonnet-4,Tool-use,0.442,0.153,0.1578947368421052,0.3
codestral-2508,Multi-agent,0.561,0.535,0.5347222222222222,0.3262032085561497
codestral-2508,Planning,0.416,0.198,0.1986301369863013,0.2959183673469387
codestral-2508,Reflection,0.606,0.222,0.2222222222222222,0.3314606741573033
codestral-2508,Tool-use,0.67,0.261,0.2608695652173913,0.3144329896907216
deepseek-chat-v3-0324,Multi-agent,0.395,0.458,0.4577464788732394,0.2771739130434782
deepseek-chat-v3-0324,Planning,0.294,0.31,0.3103448275862069,0.3065326633165829
deepseek-chat-v3-0324,Reflection,0.505,0.295,0.2941176470588235,0.3072625698324022
deepseek-chat-v3-0324,Tool-use,0.525,0.225,0.2246376811594203,0.3678756476683937
deepseek-r1-0528,Multi-agent,0.395,0.511,0.5116279069767442,0.2568306010928962
deepseek-r1-0528,Planning,0.378,0.448,0.4475524475524475,0.185929648241206
deepseek-r1-0528,Reflection,0.412,0.439,0.4391891891891892,0.1885714285714285
deepseek-r1-0528,Tool-use,0.415,0.373,0.373134328358209,0.2422680412371134
gemini-2.5-flash,Multi-agent,0.402,0.385,0.3846153846153846,0.0317460317460317
gemini-2.5-flash,Planning,0.408,0.349,0.3493150684931507,0.0351758793969849
gemini-2.5-flash,Reflection,0.425,0.261,0.261437908496732,0.0391061452513966
gemini-2.5-flash,Tool-use,0.418,0.202,0.2014388489208633,0.041025641025641
gemini-2.5-pro,Multi-agent,0.395,0.369,0.3680555555555556,0.2954545454545454
gemini-2.5-pro,Planning,0.385,0.191,0.1917808219178082,0.1346153846153846
gemini-2.5-pro,Reflection,0.438,0.267,0.2666666666666666,0.1489361702127659
gemini-2.5-pro,Tool-use,0.455,0.152,0.1521739130434782,0.1694915254237288
gpt-5,Multi-agent,0.421,0.622,0.6223776223776224,0.1938775510204081
gpt-5,Planning,0.409,0.61,0.6095890410958904,0.1134020618556701
gpt-5,Reflection,0.418,0.628,0.6274509803921569,0.198019801980198
gpt-5,Tool-use,0.45,0.536,0.5362318840579711,0.1568627450980392
gpt-5-mini,Multi-agent,0.416,0.581,0.5804195804195804,0.2539682539682539
gpt-5-mini,Planning,0.412,0.562,0.5616438356164384,0.2462311557788944
gpt-5-mini,Reflection,0.429,0.553,0.5526315789473685,0.247191011235955
gpt-5-mini,Tool-use,0.465,0.583,0.5827338129496403,0.2525773195876288
gpt-base-120b,Multi-agent,0.422,0.549,0.5486111111111112,0.2903225806451613
gpt-base-120b,Planning,0.391,0.438,0.4383561643835616,0.2424242424242424
gpt-base-120b,Reflection,0.398,0.558,0.457516339869281,0.2921348314606741
gpt-base-120b,Tool-use,0.4,0.493,0.4927536231884058,0.3195876288659793
kimi-k2,Multi-agent,0.409,0.584,0.5833333333333334,0.1497326203208556
kimi-k2,Planning,0.445,0.579,0.5793103448275863,0.101010101010101
kimi-k2,Reflection,0.437,0.305,0.3051948051948052,0.1404494382022472
kimi-k2,Tool-use,0.459,0.288,0.2877697841726618,0.1185567010309278
llama-4-maverick,Multi-agent,0.407,0.236,0.2361111111111111,0.2834224598930481
llama-4-maverick,Planning,0.492,0.267,0.2671232876712329,0.303030303030303
llama-4-maverick,Reflection,0.521,0.305,0.3051948051948052,0.288135593220339
llama-4-maverick,Tool-use,0.507,0.237,0.237410071942446,0.3179487179487179
qwen3-30b-a3b,Multi-agent,0.403,0.627,0.6267605633802817,0.0748663101604278
qwen3-30b-a3b,Planning,0.442,0.605,0.6054421768707483,0.0756756756756756
qwen3-30b-a3b,Reflection,0.422,0.224,0.2236842105263158,0.1034482758620689
qwen3-30b-a3b,Tool-use,0.419,0.147,0.144927536231884,0.082051282051282
