model,RS,EX,single_choice_accuracy,multiple_choice_accuracy
claude-sonnet-4,0.416,0.1905,0.18029328128012334,0.2868506493506493
codestral-2508,0.563,0.30400000000000005,0.30411103666203426,0.3170038099377783
deepseek-chat-v3-0324,0.430,0.322,0.32171165866942253,0.3147111984652142
deepseek-r1-0528,0.400,0.44275,0.44287596801914747,0.21839992978566103
gemini-2.5-flash,0.413,0.29925,0.2992018026315326,0.03676342435501355
gemini-2.5-pro,0.418,0.24475,0.24466923929587714,0.1871244064266062
gpt-5,0.424,0.599,0.5989123819809101,0.16554053998857887
gpt-5-mini,0.431,0.56975,0.5693572019832569,0.24999193514268303
gpt-base-120b,0.403,0.5095000000000001,0.4843093096380899,0.28611732084901426
kimi-k2,0.438,0.43899999999999995,0.43890206688209665,0.1274372151410329
llama-4-maverick,0.482,0.26125,0.2614598189798988,0.298134268523102
qwen3-30b-a3b,0.422,0.40075,0.40020362175230745,0.08401038593736357
